Shipped From Supplier
---------------------

Structure for database: SUPPLIER.DBF

Field  Field Name  Type       Width    Dec
    1  NAME        Character     32
    2  SUP_CODE    Character      4
    3  STREET      Character     28
    4  CITY        Character     20
    5  STATE       Character      2
    6  ZIP         Character      5
    7  ZIP4        Character      4
    8  NOTE        Character     60
    9  AREA_CODE   Character      3
   10  PHONE       Character      7
   11  FAX         Character     10
   12  CONT_NAME   Character     32
   13  CONT_PH     Character     10
   14  CONT_FAX    Character     10
   15  RSUPCODE    Character      4
   16  FRT_PH      Character     10
   17  FRT_EMAIL   Character     50
   18  USED        Character      1
   19  PU_CODE     Character      4
** Total **                     297



Structure for Remit to Supplier
-------------------------------
Structure for database: REM_SUP.DBF

Field  Field Name  Type       Width    Dec
    1  NAME        Character     32
    2  RSUPCODE    Character      4
    3  STREET      Character     28
    4  CITY        Character     20
    5  STATE       Character      2
    6  ZIP         Character      5
    7  ZIP4        Character      4
    8  PAY_ZIP4    Character      4
    9  CRED_LIM    Numeric        7
   10  BEG_DATE    Date           8
   11  END_DATE    Date           8
   12  LET_CRD     Numeric        7
   13  GUARAN      Character     20
   14  NOTE        Character     60
   15  AREA_CODE   Character      3
   16  PHONE       Character      7
   17  FAX         Character     10
   18  NET_DAYS    Numeric        3
   19  LED_CODE    Character      4
   20  ACTIVE      Character      1
   21  TEMP        Character      1
   22  USED        Character      1
   23  INS_CO1     Character     32
   24  INS_CO2     Character     32
   25  INS_CO3     Character     32
   26  INS_CO4     Character     32
   27  INS_CO5     Character     32
   28  INS_TP1     Character      1
   29  INS_TP2     Character      1
   30  INS_TP3     Character      1
   31  INS_TP4     Character      1
   32  INS_TP5     Character      1
   33  POLICY1     Character     20
   34  POLICY2     Character     20
   35  POLICY3     Character     20
   36  POLICY4     Character     20
   37  POLICY5     Character     20
   38  INS1_TP1    Character      1
   39  INS1_TP2    Character      1
   40  INS1_TP3    Character      1
   41  INS1_TP4    Character      1
   42  INS2_TP1    Character      1
   43  INS2_TP2    Character      1
   44  INS2_TP3    Character      1
   45  INS2_TP4    Character      1
   46  AUTO_COV    Numeric        8
   47  AUTO_BEG    Date           8
   48  AUTO_END    Date           8
   49  AUTO_LET    Date           8
   50  AUTO_COV1   Numeric        8
   51  AUTO_COV2   Numeric        8
   52  AUTO_COV3   Numeric        8
   53  AUTO_COV4   Numeric        8
   54  EXCES_COV   Numeric        8
   55  EXCES_BEG   Date           8
   56  EXCES_END   Date           8
   57  EXCES_LET   Date           8
   58  EXCE_COV1   Numeric        8
   59  EXCE_COV2   Numeric        8
   60  REFER_COV   Numeric        8
   61  REFER_BEG   Date           8
   62  REFER_END   Date           8
   63  REFER_LET   Date           8
   64  GEN_BEG     Date           8
   65  GEN_END     Date           8
   66  GEN_LET     Date           8
   67  GEN_COV1    Numeric        8
   68  GEN_COV2    Numeric        8
   69  GEN_COV3    Numeric        8
   70  GEN_COV4    Numeric        8
   71  GEN_COV5    Numeric        8
   72  GEN_COV6    Numeric        8
   73  WORK_COV    Numeric        8
   74  WORK_BEG    Date           8
   75  WORK_END    Date           8
   76  WORK_LET    Date           8
   77  WORK_COV1   Numeric        8
   78  WORK_COV2   Numeric        8
   79  WORK_COV3   Numeric        8
   80  RECAL_BEG   Date           8
   81  RECAL_END   Date           8
   82  RECAL_LET   Date           8
   83  RECA_COV1   Numeric        8
   84  CANCEL      Numeric        2
   85  INDEM_FLG   Character      1
   86  INDEM_DT    Date           8
   87  REPORT      Character      1
** Total **                     829
